route_name,http_methods,domain,has_test,test_file
admin/billing-audit-search,GET,admin,yes,admin-billing-audit-search-route.test.ts
admin/billing-pii-scan,GET,admin,yes,admin-billing-pii-scan-route.test.ts
admin/billing-reconcile-invoices,POST,admin,yes,admin-billing-reconcile-invoices-route.test.ts
admin/billing-reconcile-subscriptions,POST,admin,yes,admin-billing-reconcile-subscriptions-route.test.ts
admin/billing-webhook-replay,POST,admin,no,admin-billing-webhook-replay-route.test.ts
ai-asistent,GET|POST,ai-asistent,yes,ai-asistent-route.test.ts
ai-iq-world-bank,GET,ai-iq-world-bank,yes,ai-iq-world-bank-route.test.ts
ai-iq-world-bank-procesiranje,GET,ai-iq-world-bank-procesiranje,yes,ai-iq-world-bank-procesiranje-route.test.ts
aiiq-world-bank-licencna-checklista,GET,aiiq-world-bank-licencna-checklista,yes,aiiq-world-bank-licencna-checklista-route.test.ts
aiiq-world-bank-licencna-nabavka-status,GET,aiiq-world-bank-licencna-nabavka-status,yes,aiiq-world-bank-licencna-nabavka-status-route.test.ts
aiiq-world-bank-licencni-compliance-izvestaj,GET,aiiq-world-bank-licencni-compliance-izvestaj,yes,aiiq-world-bank-licencni-compliance-izvestaj-route.test.ts
aiiq-world-bank-licencni-expirations,GET,aiiq-world-bank-licencni-expirations,yes,aiiq-world-bank-licencni-expirations-route.test.ts
aiiq-world-bank-licencni-gap-izvestaj,GET,aiiq-world-bank-licencni-gap-izvestaj,yes,aiiq-world-bank-licencni-gap-izvestaj-route.test.ts
aiiq-world-bank-licencni-registar,GET,aiiq-world-bank-licencni-registar,yes,aiiq-world-bank-licencni-registar-route.test.ts
analiza-svega,GET,analiza-svega,yes,analiza-svega-route.test.ts
autentifikacija,GET,autentifikacija,yes,autentifikacija-route.test.ts
autentifikacija-dozvole,GET,autentifikacija-dozvole,yes,autentifikacija-dozvole-route.test.ts
autentifikacija-pregled,GET,autentifikacija-pregled,no,autentifikacija-pregled-route.test.ts
autentifikacija-status,GET,autentifikacija-status,yes,autentifikacija-status-route.test.ts
auth-validacija-pregled,GET,auth-validacija-pregled,no,auth-validacija-pregled-route.test.ts
auth/2fa,POST,auth,no,auth-2fa-route.test.ts
auth/forgot-password,POST,auth,no,auth-forgot-password-route.test.ts
auth/login,POST,auth,no,auth-login-route.test.ts
auth/logout,POST,auth,no,auth-logout-route.test.ts
auth/refresh,POST,auth,no,auth-refresh-route.test.ts
auth/register,POST,auth,no,auth-register-route.test.ts
auth/status,GET,auth,no,auth-status-route.test.ts
auth/verify,GET,auth,no,auth-verify-route.test.ts
auto-repair,GET|POST,auto-repair,no,auto-repair-route.test.ts
auto-repair/history,GET,auto-repair,no,auto-repair-history-route.test.ts
autofinish,GET,autofinish,yes,autofinish-route.test.ts
autofinish-ai-asistent-pregled,GET,autofinish-ai-asistent-pregled,yes,autofinish-ai-asistent-pregled-route.test.ts
autofinish-alert-rules,GET,autofinish-alert-rules,yes,autofinish-alert-rules-route.test.ts
autofinish-api-milestone-1000,GET,autofinish-api-milestone-1000,yes,autofinish-api-milestone-1000-route.test.ts
autofinish-api-milestone-1001,GET,autofinish-api-milestone-1001,yes,autofinish-api-milestone-1001-route.test.ts
autofinish-api-milestone-1002,GET,autofinish-api-milestone-1002,yes,autofinish-api-milestone-1002-route.test.ts
autofinish-api-milestone-1003,GET,autofinish-api-milestone-1003,yes,autofinish-api-milestone-1003-route.test.ts
autofinish-api-milestone-1004,GET,autofinish-api-milestone-1004,yes,autofinish-api-milestone-1004-route.test.ts
autofinish-api-milestone-1005,GET,autofinish-api-milestone-1005,yes,autofinish-api-milestone-1005-route.test.ts
autofinish-api-milestone-1006,GET,autofinish-api-milestone-1006,yes,autofinish-api-milestone-1006-route.test.ts
autofinish-api-milestone-1007,GET,autofinish-api-milestone-1007,yes,autofinish-api-milestone-1007-route.test.ts
autofinish-api-milestone-1008,GET,autofinish-api-milestone-1008,yes,autofinish-api-milestone-1008-route.test.ts
autofinish-api-milestone-1009,GET,autofinish-api-milestone-1009,yes,autofinish-api-milestone-1009-route.test.ts
autofinish-api-milestone-1010,GET,autofinish-api-milestone-1010,yes,autofinish-api-milestone-1010-route.test.ts
autofinish-api-milestone-1011,GET,autofinish-api-milestone-1011,yes,autofinish-api-milestone-1011-route.test.ts
autofinish-api-milestone-1012,GET,autofinish-api-milestone-1012,yes,autofinish-api-milestone-1012-route.test.ts
autofinish-api-milestone-1013,GET,autofinish-api-milestone-1013,yes,autofinish-api-milestone-1013-route.test.ts
autofinish-api-milestone-1014,GET,autofinish-api-milestone-1014,yes,autofinish-api-milestone-1014-route.test.ts
autofinish-api-milestone-1015,GET,autofinish-api-milestone-1015,yes,autofinish-api-milestone-1015-route.test.ts
autofinish-api-milestone-1016,GET,autofinish-api-milestone-1016,yes,autofinish-api-milestone-1016-route.test.ts
autofinish-api-milestone-1017,GET,autofinish-api-milestone-1017,yes,autofinish-api-milestone-1017-route.test.ts
autofinish-api-milestone-1018,GET,autofinish-api-milestone-1018,yes,autofinish-api-milestone-1018-route.test.ts
autofinish-api-milestone-1019,GET,autofinish-api-milestone-1019,yes,autofinish-api-milestone-1019-route.test.ts
autofinish-api-milestone-1020,GET,autofinish-api-milestone-1020,yes,autofinish-api-milestone-1020-route.test.ts
autofinish-api-milestone-1021,GET,autofinish-api-milestone-1021,yes,autofinish-api-milestone-1021-route.test.ts
autofinish-api-milestone-1032,GET,autofinish-api-milestone-1032,yes,autofinish-api-milestone-1032-route.test.ts
autofinish-api-milestone-1033,GET,autofinish-api-milestone-1033,yes,autofinish-api-milestone-1033-route.test.ts
autofinish-api-milestone-1034,GET,autofinish-api-milestone-1034,yes,autofinish-api-milestone-1034-route.test.ts
autofinish-api-milestone-1035,GET,autofinish-api-milestone-1035,yes,autofinish-api-milestone-1035-route.test.ts
autofinish-api-milestone-1036,GET,autofinish-api-milestone-1036,yes,autofinish-api-milestone-1036-route.test.ts
autofinish-api-milestone-1041,GET,autofinish-api-milestone-1041,yes,autofinish-api-milestone-1041-route.test.ts
autofinish-api-milestone-1042,GET,autofinish-api-milestone-1042,yes,autofinish-api-milestone-1042-route.test.ts
autofinish-api-milestone-1043,GET,autofinish-api-milestone-1043,yes,autofinish-api-milestone-1043-route.test.ts
autofinish-api-milestone-1044,GET,autofinish-api-milestone-1044,yes,autofinish-api-milestone-1044-route.test.ts
autofinish-api-milestone-1045,GET,autofinish-api-milestone-1045,yes,autofinish-api-milestone-1045-route.test.ts
autofinish-api-milestone-1046,GET,autofinish-api-milestone-1046,yes,autofinish-api-milestone-1046-route.test.ts
autofinish-api-milestone-1047,GET,autofinish-api-milestone-1047,yes,autofinish-api-milestone-1047-route.test.ts
autofinish-api-milestone-1048,GET,autofinish-api-milestone-1048,yes,autofinish-api-milestone-1048-route.test.ts
autofinish-audit-report,GET,autofinish-audit-report,yes,autofinish-audit-report-route.test.ts
autofinish-autologin-rikvrst-eksponencijalne-funkcije,GET,autofinish-autologin-rikvrst-eksponencijalne-funkcije,yes,autofinish-autologin-rikvrst-eksponencijalne-funkcije-route.test.ts
autofinish-branch-cleanup-monitor,GET,autofinish-branch-cleanup-monitor,yes,autofinish-branch-cleanup-monitor-route.test.ts
autofinish-capacity-planning,GET,autofinish-capacity-planning,yes,autofinish-capacity-planning-route.test.ts
autofinish-changelog,GET,autofinish-changelog,yes,autofinish-changelog-route.test.ts
autofinish-changelog-automated,GET,autofinish-changelog-automated,yes,autofinish-changelog-automated-route.test.ts
autofinish-cost-analytics,GET,autofinish-cost-analytics,yes,autofinish-cost-analytics-route.test.ts
autofinish-coverage,GET,autofinish-coverage,yes,autofinish-coverage-route.test.ts
autofinish-dependencies,GET,autofinish-dependencies,yes,autofinish-dependencies-route.test.ts
autofinish-dependency-audit,GET,autofinish-dependency-audit,yes,autofinish-dependency-audit-route.test.ts
autofinish-deployment-pipeline,GET,autofinish-deployment-pipeline,yes,autofinish-deployment-pipeline-route.test.ts
autofinish-deployment-status,GET,autofinish-deployment-status,yes,autofinish-deployment-status-route.test.ts
autofinish-deployment-validacija,GET,autofinish-deployment-validacija,yes,autofinish-deployment-validacija-route.test.ts
autofinish-digitalna-industrija-pregled,GET,autofinish-digitalna-industrija-pregled,yes,autofinish-digitalna-industrija-pregled-route.test.ts
autofinish-dora-metrics,GET,autofinish-dora-metrics,yes,autofinish-dora-metrics-route.test.ts
autofinish-ekosistem-monitor,GET,autofinish-ekosistem-monitor,yes,autofinish-ekosistem-monitor-route.test.ts
autofinish-ekosistem-snapshot,GET,autofinish-ekosistem-snapshot,yes,autofinish-ekosistem-snapshot-route.test.ts
autofinish-ekosistem-zdravlje,GET,autofinish-ekosistem-zdravlje,yes,autofinish-ekosistem-zdravlje-route.test.ts
